background_cell_count,background_energy_increase_db,bootstrap_pfa_ci_high,bootstrap_pfa_ci_low,bootstrap_pfa_std,f1,false_alarm_count,fn_cells,fp_cells,frame_level_pfa_mean,frame_level_pfa_std,input_type,mask_name,measured_pfa,mid_hits,mid_miss_rate,mid_n,mid_pd,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,overall_hits,overall_miss_rate,overall_n,overall_pd,precision,recall,sir_name,source_stage,split_definition,strong_hits,strong_miss_rate,strong_n,strong_pd,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold,threshold_source,tp_cells,weak_hits,weak_miss_rate,weak_n,weak_pd
15058,0.0,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,clean,narrow,0.010824810731836897,88,0.22807017543859653,114,0.7719298245614035,0.0,0.0,0.0,178,0.5400516795865633,387,0.4599483204134367,0.6091127098321343,0.10623170221664575,,D3/D4-anchor,clean_peak_percentile,30,0.0,30,1.0,0.0,0.0,0.01,all,,4.08894482405166,input_specific_validation_background,254,60,0.7530864197530864,243,0.24691358024691357
15058,0.0,0.002044752566643189,0.0009335863021519621,0.0002785893516544175,0.1417019638043897,22,2207,22,0.0014446818667900735,0.003632258015168361,clean,narrow,0.001461017399389029,79,0.3070175438596491,114,0.6929824561403509,0.0,0.0,0.0,142,0.6330749354005167,387,0.3669250645994832,0.8932038834951457,0.07695524884985362,,D3/D4-anchor,clean_peak_percentile,30,0.0,30,1.0,0.0,0.0,0.001,all,,5.804782930022925,input_specific_validation_background,184,33,0.8641975308641976,243,0.13580246913580246
15058,0.0,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,clean,narrow,0.010824810731836897,136,0.1952662721893491,169,0.8047337278106509,0.0,0.0,0.0,178,0.5400516795865633,387,0.4599483204134367,0.6091127098321343,0.10623170221664575,,D3/D4-anchor,cfar_margin,42,0.0,42,1.0,0.0,0.0,0.01,all,,4.08894482405166,input_specific_validation_background,254,0,1.0,176,0.0
15058,0.0,0.002044752566643189,0.0009335863021519621,0.0002785893516544175,0.1417019638043897,22,2207,22,0.0014446818667900735,0.003632258015168361,clean,narrow,0.001461017399389029,100,0.40828402366863903,169,0.591715976331361,0.0,0.0,0.0,142,0.6330749354005167,387,0.3669250645994832,0.8932038834951457,0.07695524884985362,,D3/D4-anchor,cfar_margin,42,0.0,42,1.0,0.0,0.0,0.001,all,,5.804782930022925,input_specific_validation_background,184,0,1.0,176,0.0
14165,0.0,0.012010512101263072,0.009092697234818722,0.00074184296841472,0.129757343550447,149,3258,149,0.01005841226032981,0.009616072981942801,clean,default,0.010518884574655841,80,0.024390243902439046,82,0.975609756097561,0.0,0.0,0.0,215,0.4444444444444444,387,0.5555555555555556,0.630272952853598,0.07232346241457858,,D3/D4-anchor,clean_peak_percentile,43,0.0,43,1.0,0.0,0.0,0.01,all,,4.1612512870097,input_specific_validation_background,254,92,0.6488549618320612,262,0.3511450381679389
14165,0.0,0.0024462966443550447,0.0011662621792480315,0.00031736125209608717,0.0999194198227236,25,3326,25,0.0017762174181604196,0.0041633276135994365,clean,default,0.0017649135192375574,73,0.1097560975609756,82,0.8902439024390244,0.0,0.0,0.0,176,0.545219638242894,387,0.45478036175710596,0.8815165876777251,0.05296127562642369,,D3/D4-anchor,clean_peak_percentile,43,0.0,43,1.0,0.0,0.0,0.001,all,,5.767059478566422,input_specific_validation_background,186,60,0.7709923664122138,262,0.22900763358778625
14165,0.0,0.012010512101263072,0.009092697234818722,0.00074184296841472,0.129757343550447,149,3258,149,0.01005841226032981,0.009616072981942801,clean,default,0.010518884574655841,154,0.0,154,1.0,0.0,0.0,0.0,215,0.4444444444444444,387,0.5555555555555556,0.630272952853598,0.07232346241457858,,D3/D4-anchor,cfar_margin,36,0.0,36,1.0,0.0,0.0,0.01,all,,4.1612512870097,input_specific_validation_background,254,25,0.8730964467005076,197,0.12690355329949238
14165,0.0,0.0024462966443550447,0.0011662621792480315,0.00031736125209608717,0.0999194198227236,25,3326,25,0.0017762174181604196,0.0041633276135994365,clean,default,0.0017649135192375574,140,0.09090909090909094,154,0.9090909090909091,0.0,0.0,0.0,176,0.545219638242894,387,0.45478036175710596,0.8815165876777251,0.05296127562642369,,D3/D4-anchor,cfar_margin,36,0.0,36,1.0,0.0,0.0,0.001,all,,5.767059478566422,input_specific_validation_background,186,0,1.0,197,0.0
15058,0.020936670009687693,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,mse_model_clean,narrow,0.010824810731836897,88,0.22807017543859653,114,0.7719298245614035,0.048443113856534624,10139392847.331367,0.05275989205355813,178,0.5400516795865633,387,0.4599483204134367,0.6091127098321343,0.10623170221664575,,D3/D4-anchor,clean_peak_percentile,30,0.0,30,1.0,0.050882145098635846,0.04771234938479939,0.01,all,,4.071246249227762,input_specific_validation_background,254,60,0.7530864197530864,243,0.24691358024691357
15058,0.020936670009687693,0.001970694974512427,0.0008640077227868773,0.00027247168941525,0.1417565485362096,21,2207,21,0.0013802488770993516,0.003565257269339099,mse_model_clean,narrow,0.0013946075175986187,79,0.3070175438596491,114,0.6929824561403509,0.048443113856534624,10139392847.331367,0.05275989205355813,142,0.6330749354005167,387,0.3669250645994832,0.8975609756097561,0.07695524884985362,,D3/D4-anchor,clean_peak_percentile,30,0.0,30,1.0,0.050882145098635846,0.04771234938479939,0.001,all,,5.817966587255464,input_specific_validation_background,184,33,0.8641975308641976,243,0.13580246913580246
